source,dutch,category,policy,status,notes
[mcname],[mcname],placeholder,preserve_exact,locked,Player-selected main-character name
AmRose,AmRose,proper_name,preserve,locked,Amber-Rose Jenkins
Amore,Amore,proper_name,preserve,locked,BDSM model
Debbie,Debbie,proper_name,preserve,locked,Debbie Callahan
Kanya,Kanya,proper_name,preserve,locked,Kanya Vu
Min,Min,proper_name,preserve,locked,Min Eun-Soo
Lyssa,Lyssa,proper_name,preserve,locked,Melissa Harris / Lyssa
Melony,Melony,proper_name,preserve,locked,Melony Young
Stacy,Stacy,proper_name,preserve,locked,Stacy Young
Angela,Angela,proper_name,preserve,locked,Angela Taylor Portillo
Bently,Bently,proper_name,preserve,locked,Taisia coworker
Cecilia,Cecilia,proper_name,preserve,locked,Cecilia Siegal
Elizabeth,Elizabeth,proper_name,preserve,locked,Elizabeth Davis
Hana,Hana,proper_name,preserve,locked,Hana Rivera
Inga,Inga,proper_name,preserve,locked,Inga Cowen
Juggsy,Juggsy,proper_name,preserve,locked,Taisia coworker
Kennedy,Kennedy,proper_name,preserve,locked,Kennedy Assworth
Lauren,Lauren,proper_name,preserve,locked,Lauren Grindsly
Olivia,Olivia,proper_name,preserve,locked,Olivia Small
Ridley,Ridley,proper_name,preserve,locked,Ridley Driver
Zuzana,Zuzana,proper_name,preserve,locked,Zuzana Holab
Anna,Anna,proper_name,preserve,locked,Anna Goodwin
April,April,proper_name,preserve,locked,April
Claire,Claire,proper_name,preserve,locked,Claire Watts
Nari,Nari,proper_name,preserve,locked,Nari Song
Eugene,Eugene,proper_name,preserve,locked,Eugene Nowakowski
Mitch Conner,Mitch Conner,proper_name,preserve,locked,April band lead guitar
Megan,Megan,proper_name,preserve,locked,Megan John
Peter,Peter,proper_name,preserve,locked,Peter Maloney
Pepper Storm,Pepper Storm,proper_name,preserve,locked,April band drummer
Sienna,Sienna,proper_name,preserve,locked,Sienna Roberts
Denise,Denise,proper_name,preserve,locked,Denise Van der Haute
Kellie,Kellie,proper_name,preserve,locked,Kellie Moore
Taisia,Taisia,proper_name,preserve,locked,Taisia Lindqvist
