relative_path,phase,status,translation_block_count,string_dialogue_count,source_word_estimate,count_reference_language,present_in_languages,structure_variance,source_upstream_baseline_sha,notes
code/classes/character.rpy,Phase 2,not started,1,10,56,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/classes/chat_controller.rpy,Phase 2,not started,2,8,14,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/classes/gallery.rpy,Phase 2,not started,1,2,8,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/classes/gametime.rpy,Phase 2,not started,2,5,22,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/classes/interaction_character_option.rpy,Phase 2,not started,1,12,33,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/classes/interaction_location_option.rpy,Phase 2,not started,1,1,0,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/classes/interaction_object_option.rpy,Phase 2,not started,1,2,9,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/classes/it_controller.rpy,Phase 2,not started,1,2,10,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/classes/location_controller.rpy,Phase 2,not started,1,5,30,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/classes/lovense.rpy,Phase 2,not started,1,1,13,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/classes/map_location.rpy,Phase 2,not started,1,5,17,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/classes/movie_controllers.rpy,Phase 2,not started,2,22,68,turkish,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/classes/player.rpy,Phase 2,not started,3,6,30,portuguese,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/classes/player_controller.rpy,Phase 2,not started,2,3,15,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/classes/quest_controller.rpy,Phase 2,not started,1,7,18,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/classes/renovation_controller.rpy,Phase 2,not started,3,18,82,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/classes/th_controller.rpy,Phase 2,not started,2,2,9,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/classes/vn_mode_controller.rpy,Phase 2,not started,2,2,4,portuguese,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/characters/characters.rpy,Phase 3,not started,1,65,67,french,deutsch;italian;french;spanish;portuguese;turkish,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/characters/names.rpy,Phase 3,not started,1,92,104,chinese,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/chat/chat_am.rpy,Phase 3,not started,1,17,113,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/chat/chat_arj.rpy,Phase 3,not started,1,14,91,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/chat/chat_bg.rpy,Phase 3,not started,2,3,21,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/chat/chat_cw.rpy,Phase 3,not started,2,6,27,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/chat/chat_dc.rpy,Phase 3,not started,4,13,121,spanish,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/chat/chat_dvh.rpy,Phase 3,not started,1,3,12,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/chat/chat_km.rpy,Phase 3,not started,1,7,28,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/chat/chat_kv.rpy,Phase 3,not started,2,15,78,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/chat/chat_mes.rpy,Phase 3,not started,8,67,395,spanish,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/chat/chat_mh.rpy,Phase 3,not started,3,7,57,spanish,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/chat/chat_my.rpy,Phase 3,not started,2,13,134,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/chat/chat_ns.rpy,Phase 3,not started,2,3,24,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/chat/chat_tl.rpy,Phase 3,not started,2,19,131,portuguese,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/chat/chat_vs.rpy,Phase 3,not started,1,19,112,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/constants/constants.rpy,Phase 3,not started,5,50,57,italian,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/constants/location_constants.rpy,Phase 3,not started,4,58,103,spanish,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/constants/traits.rpy,Phase 3,not started,2,76,110,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/gallery/achievements.rpy,Phase 3,not started,1,66,245,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/gallery/replay_gallery.rpy,Phase 3,not started,2,70,275,italian,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/gallery/sm_website.rpy,Phase 3,not started,2,20,58,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/interaction_options/interaction_character_options.rpy,Phase 3,not started,2,123,501,italian,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/interaction_options/interaction_conditions.rpy,Phase 3,not started,1,1,7,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/interaction_options/interaction_location_options.rpy,Phase 3,not started,2,6,28,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/interaction_options/interaction_object_options.rpy,Phase 3,not started,2,13,36,spanish,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/interaction_options/store_item_options.rpy,Phase 3,not started,1,4,7,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quests/line_list_quests.rpy,Phase 3,not started,3,25,51,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quests/quests_it.rpy,Phase 3,not started,2,66,476,spanish,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quests/quests_movies.rpy,Phase 3,not started,2,47,408,italian,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quests/quests_neutral.rpy,Phase 3,not started,3,115,738,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quests/quests_theater.rpy,Phase 3,not started,4,59,369,italian,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quests/vn_mode_conditions.rpy,Phase 3,not started,2,5,26,spanish,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quests/vn_mode_data.rpy,Phase 3,not started,5,202,837,turkish,deutsch;italian;french;spanish;portuguese;turkish;chinese,yes,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/GR_Bar/q-inter-rd.rpy,Phase 3,not started,14,14,63,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/IT_office/q-inter-ag.rpy,Phase 3,not started,51,51,348,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/IT_office/q-inter-am.rpy,Phase 3,not started,137,137,732,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/IT_office/q-inter-cw.rpy,Phase 3,not started,49,49,360,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/IT_office/q-inter-en.rpy,Phase 3,not started,20,20,83,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/IT_office/q-inter-jh.rpy,Phase 3,not started,22,22,125,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/IT_office/q-inter-lm.rpy,Phase 3,not started,17,17,140,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/IT_office/q-inter-mj.rpy,Phase 3,not started,16,16,110,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/IT_office/q-inter-ns.rpy,Phase 3,not started,206,206,1452,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/IT_office/q-inter-pm.rpy,Phase 3,not started,19,19,131,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/IT_office/q-inter-sr.rpy,Phase 3,not started,19,19,139,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/Neutral/q-inter-dc.rpy,Phase 3,not started,48,48,288,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/Neutral/q-inter-mes.rpy,Phase 3,not started,67,67,365,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/Neutral/q-inter-my.rpy,Phase 3,not started,71,71,408,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/Neutral/q-inter-sy.rpy,Phase 3,not started,119,119,829,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/Photo_dojo/q-inter-bg.rpy,Phase 3,not started,39,39,185,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/Photo_dojo/q-inter-kv.rpy,Phase 3,not started,32,32,238,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/Starducks/q-inter-cs.rpy,Phase 3,not started,20,20,153,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/Theater/background_chars/q-inter-ec.rpy,Phase 3,not started,33,33,202,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/Theater/background_chars/q-inter-kw.rpy,Phase 3,not started,29,29,297,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/Theater/background_chars/q-inter-sb.rpy,Phase 3,not started,15,15,56,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/Theater/background_chars/q-inter-sj.rpy,Phase 3,not started,28,28,395,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/Theater/q-inter-dvh.rpy,Phase 3,not started,19,19,94,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/Theater/q-inter-km.rpy,Phase 3,not started,35,35,263,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/Theater/q-inter-tl.rpy,Phase 3,not started,117,117,764,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/Theater/q-inter-vs.rpy,Phase 3,not started,51,51,432,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/l71_shop/q-inter-ic.rpy,Phase 3,not started,17,17,101,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
code/data/quick_interactions/wurst_delivery/q-inter-ms.rpy,Phase 3,not started,142,142,904,deutsch,deutsch;italian;french;spanish;portuguese;turkish;chinese,no,cbb9016479fa95aca7c6ad58593fdf63093d7659,
