relative_path,reference_language,translation_block_count,string_dialogue_count,source_fingerprint_sha256
code/classes/character.rpy,deutsch,1,10,ad515dd815d53fb056d0357ea314503a444133671018a0f8d1ee5bc9e90fc14d
code/classes/chat_controller.rpy,deutsch,2,8,3c26fa1e871e412981a7f29e36349c834456110b824ea55a7ebd09be7ab2f03e
code/classes/gallery.rpy,deutsch,1,2,fafccb82b730163f835d8baa53277d2b045e2a8a827f8e80d3ded86a0297d188
code/classes/gametime.rpy,deutsch,2,5,db3f6b14008718e611366878e6e33d2d9122bd83465cf11b758b46a0c9d212f3
code/classes/interaction_character_option.rpy,deutsch,1,12,d248da6087f7d8378e530caaca1edac2270bc503423ca75cd28be7ffcd43f9da
code/classes/interaction_location_option.rpy,deutsch,1,1,2f213115e3fbe8b3c298c52460e64b5d75b419065dbe6c44767a650baab15198
code/classes/interaction_object_option.rpy,deutsch,1,2,8a4407e00c3ac4766bb0f2785ba855c696b05cf8ca8d0c6f97ae4311e49479f7
code/classes/it_controller.rpy,deutsch,1,2,e6b36aef7f11f1ef7287e16505b226286ff00341fc1f89ac6d35bd6f2a0fb5dc
code/classes/location_controller.rpy,deutsch,1,5,c5b0e313ed957b10c60acee089b901a50b471feab9c3a6e0040a0cac5b533641
code/classes/lovense.rpy,deutsch,1,1,b37cd90186dfc01e62061eb97e567b1b98e31df6156b105c95bbfa02200b64e9
code/classes/map_location.rpy,deutsch,1,5,78f8b44daf938cb695a556ba334ceace4155a648a00218ee24bca250a335d358
code/classes/movie_controllers.rpy,turkish,2,22,0182f523870253f144e3ac005f0cab8256507c46620f37fc108134faac644a3b
code/classes/player.rpy,portuguese,3,6,caf291c9469c8f2189b5acee3cf48a64c491483b7a90c8dd2093f23e48d2084d
code/classes/player_controller.rpy,deutsch,2,3,52287f2c2e6d5f9e540044bdfcc08e671086fbbb7ec252ea787b76e28445be28
code/classes/quest_controller.rpy,deutsch,1,7,bdce46bde1ed4008e527915aabb38d734941ea368c8721937b2c3772d1b9f1ca
code/classes/renovation_controller.rpy,deutsch,3,18,e730a1c6fd14badf8237a53eaeb0040300fd2dec37119d6621377050d3316779
